,FIS code,Athlete,Year,Nation,Podiums,Wins,Top 10
339,3422613,JENSSEN Jan Thomas,1996.0,NOR,0.0,0.0,3.0
340,3200376,NOTZ Florian,1992.0,GER,0.0,0.0,1.0
341,3290524,ABRAM Mikael,1996.0,ITA,0.0,0.0,0.0
342,3190548,CHAPPAZ Jules,1999.0,FRA,0.0,0.0,0.0
343,3670079,KOVALYOV Vladislav,1996.0,KAZ,0.0,0.0,0.0
344,3670049,VOLOTKA Denis,1985.0,KAZ,0.0,0.0,0.0
345,3670098,BASHMAKOV Nail,1995.0,KAZ,0.0,0.0,1.0
346,3900005,CHANLOUNG Mark,1995.0,THA,0.0,0.0,0.0
347,3426163,MYHRE Julie,1996.0,NOR,0.0,0.0,2.0
348,3505449,SOEMSKAR Linn,1989.0,SWE,1.0,0.0,2.0
349,3205570,RYDZEK Coletta,1997.0,GER,0.0,0.0,0.0
350,3205424,HERRMANN Nadine,1995.0,GER,0.0,0.0,0.0
351,3205350,WINKLER Anne,1994.0,GER,0.0,0.0,1.0
352,3425863,ALNAES Anikken Gjerde,1994.0,NOR,0.0,0.0,2.0
353,3205655,DANNER Alexandra,1999.0,GER,0.0,0.0,0.0
354,3485202,MATVEEVA Natalia,1986.0,RUS,0.0,0.0,1.0
355,3105180,MACISAAC-JONES Maya,1995.0,CAN,0.0,0.0,0.0
356,3485221,SHAPOVALOVA Evgenia,1986.0,RUS,0.0,0.0,1.0
357,3505591,NORDSTROEM Maria,1991.0,SWE,0.0,0.0,0.0
358,3205506,RICHTER Julia,1997.0,GER,0.0,0.0,0.0
359,3105224,WEAVER Katherine,1997.0,CAN,0.0,0.0,0.0
