,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
5679,62,7,3670115,PUKHKALO Vitaliy,1992,KAZ,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5680,63,85,3300190,YOSHIDA Keishin,1987,JPN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5681,64,76,3670022,VELICHKO Yevgeniy,1987,KAZ,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5682,65,75,3530496,NORRIS David,1990,USA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5683,66,70,3501176,RUUS Marcus,1994,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5684,67,66,3290600,DAPRA Simone,1997,ITA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5685,68,64,3220002,MUSGRAVE Andrew,1990,GBR,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5686,69,18,3500015,RICHARDSSON Daniel,1982,SWE,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5687,70,65,3390167,ALEV Alvar Johannes,1993,EST,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5688,71,58,3430249,BURY Dominik,1996,POL,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5689,72,81,3490145,ROJO Imanol,1990,ESP,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5690,73,52,3100268,KENNEDY Russell,1991,CAN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5691,74,72,3510342,BAUMANN Jonas,1990,SUI,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5692,75,68,3100283,PALMER-CHARRETTE Evan,1994,CAN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5693,76,78,3100321,DUMAS Alexis,1995,CAN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5694,77,74,3270010,MALONEY WESTGAARD Thomas,1995,IRL,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5695,78,80,3100287,IZQUIERDO-BERNIER Ricardo,1995,CAN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5696,79,84,3020003,ESTEVE ALTIMIRAS Ireneu,1996,AND,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5697,80,79,3670098,BASHMAKOV Nail,1995,KAZ,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5698,81,61,3530772,LUSTGARTEN Benjamin,1992,USA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5699,82,82,3290504,VENTURA Paolo,1996,ITA,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5700,83,77,3120063,SHANG Jincai,1993,CHN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5701,84,83,3120133,BAO Lin,1999,CHN,,,,Men's SP  F Final,Are (SWE),"Feb 18, 2020",Stage World Cup,2020
5702,1,1,3425301,JOHAUG Therese,1988,NOR,1:26:32.8,1:26:32.8,0.00,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5703,2,3,3425410,OESTBERG Ingvild Flugstad,1990,NOR,1:26:36.8,+4.0,1.08,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5704,3,2,3425499,WENG Heidi,1991,NOR,1:27:54.4,+1:21.6,22.00,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5705,4,6,3505990,ANDERSSON Ebba,1997,SWE,1:28:33.3,+2:00.5,32.49,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5706,5,4,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,1:29:39.3,+3:06.5,50.28,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5707,6,23,3426201,WENG Tiril Udnes,1996,NOR,1:29:43.1,+3:10.3,51.31,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5708,7,10,3535410,DIGGINS Jessica,1991,USA,1:29:46.7,+3:13.9,52.28,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5709,8,19,3506008,RIBOM Emma,1997,SWE,1:30:03.9,+3:31.1,56.91,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5710,9,16,3055067,STADLOBER Teresa,1993,AUT,1:30:04.9,+3:32.1,57.18,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5711,10,15,3535316,BRENNAN Rosie,1988,USA,1:30:14.7,+3:41.9,59.83,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5712,11,20,3535320,MAUBET BJORNSEN Sadie,1989,USA,1:30:17.6,+3:44.8,60.61,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5713,12,57,3426200,WENG Lotta Udnes,1996,NOR,1:30:35.3,+4:02.5,65.38,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5714,13,26,3295000,BROCARD Elisa,1984,ITA,1:30:35.6,+4:02.8,65.46,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5715,14,8,3425421,HAGA Ragnhild,1991,NOR,1:30:36.2,+4:03.4,65.62,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5716,15,31,3195219,CLAUDEL Delphine,1996,FRA,1:30:39.2,+4:06.4,66.43,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5717,16,18,3505217,KALLA Charlotte,1987,SWE,1:30:59.7,+4:26.9,71.96,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5718,17,13,3185256,PARMAKOSKI Krista,1990,FIN,1:31:04.2,+4:31.4,73.17,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5719,18,36,3426163,MYHRE Julie,1996,NOR,1:32:37.0,+6:04.2,98.19,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5720,19,47,3535562,KERN Julia,1997,USA,1:32:37.3,+6:04.5,98.27,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5721,20,32,3505449,SOEMSKAR Linn,1989,SWE,1:32:37.6,+6:04.8,98.35,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5722,21,29,3185137,KYLLOENEN Anne,1987,FIN,1:32:38.3,+6:05.5,98.54,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5723,22,28,3485849,NECHAEVSKAYA Anna,1991,RUS,1:32:38.8,+6:06.0,98.68,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5724,23,24,3485862,ZHAMBALOVA Alisa,1994,RUS,1:32:39.0,+6:06.2,98.73,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5725,24,25,3295144,DEBERTOLIS Ilaria,1989,ITA,1:32:39.2,+6:06.4,98.78,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5726,25,55,3105190,BROWNE Cendrine,1993,CAN,1:32:40.7,+6:07.9,99.19,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5727,26,52,3125046,LI Xin,1992,CHN,1:32:41.6,+6:08.8,99.43,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5728,27,21,1274580,ISHIDA Masako,1980,JPN,1:32:42.1,+6:09.3,99.56,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5729,28,17,3185114,MONONEN Laura,1984,FIN,1:32:42.4,+6:09.6,99.65,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5730,29,44,3535448,FRANKOWSKI Rosie,1991,USA,1:32:45.0,+6:12.2,100.35,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5731,30,54,3125082,CHI Chunxue,1998,CHN,1:32:48.9,+6:16.1,101.40,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5732,31,40,3105214,STEWART-JONES Katherine,1995,CAN,1:32:48.9,+6:16.1,101.40,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5733,32,7,3505809,SUNDLING Jonna,1994,SWE,1:33:05.9,+6:33.1,105.98,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5734,33,12,3565062,LAMPIC Anamarija,1995,SLO,1:33:06.9,+6:34.1,106.25,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5735,34,60,3125103,YILAMUJIANG Dinigeer,2001,CHN,1:33:10.4,+6:37.6,107.19,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5736,35,5,3515221,FAEHNDRICH Nadine,1995,SUI,1:33:24.9,+6:52.1,111.10,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5737,36,58,3125106,JIALIN Bayani,1999,CHN,1:33:31.1,+6:58.3,112.78,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5738,37,39,3675035,SHEVCHENKO Anna,1993,KAZ,1:34:09.2,+7:36.4,123.05,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5739,38,45,3505858,MOLANDER KRISTIANSEN Moa,1995,SWE,1:34:23.6,+7:50.8,126.93,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5740,39,46,3105095,NISHIKAWA Emily,1989,CAN,1:34:25.7,+7:52.9,127.50,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5741,40,42,3485042,IKSANOVA Alija,1984,RUS,1:34:28.8,+7:56.0,128.33,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5742,41,43,3535385,PATTERSON Caitlin,1990,USA,1:34:53.1,+8:20.3,134.88,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5743,42,38,3535601,OGDEN Katharine,1997,USA,1:35:22.6,+8:49.8,142.84,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5744,43,27,3486314,KIRPICHENKO Yana,1996,RUS,1:35:51.8,+9:19.0,150.71,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5745,44,41,3486232,GOLOVAN Diana,1994,RUS,1:36:38.6,+10:05.8,163.33,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5746,45,9,3506166,SVAHN Linn,1999,SWE,1:36:53.2,+10:20.4,167.26,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5747,46,22,3505828,DYVIK Anna,1994,SWE,1:36:53.6,+10:20.8,167.37,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5748,47,51,3515087,VAN DER GRAAFF Laurien,1987,SUI,1:36:53.8,+10:21.0,167.42,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5749,48,50,3535659,SONNESYN Alayna,1996,USA,1:36:55.8,+10:23.0,167.96,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5750,49,56,3425365,FALLA Maiken Caspersen,1990,NOR,1:36:56.1,+10:23.3,168.04,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5751,50,59,3675041,SHURYGA Angelina,1996,KAZ,1:36:57.0,+10:24.2,168.29,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5752,51,48,3675036,MANDRIKA Olga,1993,KAZ,1:37:00.0,+10:27.2,169.10,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5753,52,14,3295193,LAURENT Greta,1992,ITA,1:37:01.7,+10:28.9,169.55,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5754,53,35,3295157,SCARDONI Lucia,1991,ITA,1:37:01.8,+10:29.0,169.58,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5755,54,33,3195205,BENTZ Coralie,1996,FRA,1:37:19.9,+10:47.1,174.46,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5756,55,34,3425381,SVENDSEN Anna,1990,NOR,1:38:22.7,+11:49.9,191.39,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5757,56,49,3535304,CALDWELL Sophie,1990,USA,1:39:00.1,+12:27.3,201.48,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5758,57,53,3675049,BYKOVA Irina,1993,KAZ,1:39:42.4,+13:09.6,212.88,Women's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5759,1,3,3482277,BOLSHUNOV Alexander,1996,RUS,1:19:34.9,1:19:34.9,0.00,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5760,2,4,3422819,KLAEBO Johannes Hoesflot,1996,NOR,1:20:26.6,+51.7,15.16,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5761,3,23,3421320,IVERSEN Emil,1991,NOR,1:20:26.7,+51.8,15.19,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5762,4,8,3421154,NYENGET Martin Loewstroem,1992,NOR,1:20:27.3,+52.4,15.36,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5763,5,10,3420961,KROGH Finn Haagen,1990,NOR,1:20:27.7,+52.8,15.48,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5764,6,15,3510023,COLOGNA Dario,1986,SUI,1:20:30.0,+55.1,16.16,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5765,7,5,3420605,ROETHE Sjur,1988,NOR,1:20:30.1,+55.2,16.18,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5766,8,19,3510351,FURGER Roman,1990,SUI,1:20:30.3,+55.4,16.24,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5767,9,11,3421779,KRUEGER Simen Hegstad,1993,NOR,1:20:30.4,+55.5,16.27,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5768,10,14,3481803,MELNICHENKO Andrey,1992,RUS,1:20:32.5,+57.6,16.89,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5769,11,9,3420586,HOLUND Hans Christer,1989,NOR,1:20:35.5,+1:00.6,17.77,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5770,12,1,3420909,GOLBERG Paal,1990,NOR,1:20:52.9,+1:18.0,22.87,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5771,13,20,3481161,BELOV Evgeniy,1990,RUS,1:21:08.7,+1:33.8,27.50,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5772,14,24,3501223,BURMAN Jens,1994,SWE,1:21:18.2,+1:43.3,30.29,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5773,15,17,3482105,YAKIMUSHKIN Ivan,1996,RUS,1:21:19.3,+1:44.4,30.61,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5774,16,22,3220016,YOUNG Andrew,1992,GBR,1:21:22.3,+1:47.4,31.49,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5775,17,13,3482280,SPITSOV Denis,1996,RUS,1:21:22.5,+1:47.6,31.55,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5776,18,47,3250038,EINARSSON Snorri Eythor,1986,ISL,1:21:22.8,+1:47.9,31.64,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5777,19,16,3180535,NISKANEN Iivo,1992,FIN,1:21:25.6,+1:50.7,32.46,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5778,20,12,3420228,SUNDBY Martin Johnsrud,1984,NOR,1:21:26.7,+1:51.8,32.78,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5779,21,21,3190268,BACKSCHEIDER Adrien,1992,FRA,1:21:56.9,+2:22.0,41.63,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5780,22,25,3290379,DE FABIANI Francesco,1993,ITA,1:22:15.7,+2:40.8,47.15,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5781,23,37,3020003,ESTEVE ALTIMIRAS Ireneu,1996,AND,1:22:17.1,+2:42.2,47.56,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5782,24,34,3500015,RICHARDSSON Daniel,1982,SWE,1:22:17.4,+2:42.5,47.64,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5783,25,26,3190302,PARISSE Clement,1993,FRA,1:22:43.4,+3:08.5,55.27,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5784,26,32,3530496,NORRIS David,1990,USA,1:22:43.6,+3:08.7,55.33,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5785,27,27,3481432,MALTSEV Artem,1993,RUS,1:22:58.7,+3:23.8,59.75,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5786,28,36,3190358,TIBERGHIEN Jean,1995,FRA,1:23:06.6,+3:31.7,62.07,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5787,29,60,3510479,RUEESCH Jason,1994,SUI,1:23:14.6,+3:39.7,64.42,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5788,30,44,3430249,BURY Dominik,1996,POL,1:23:15.0,+3:40.1,64.53,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5789,31,61,3501356,DANIELSSON Filip,1996,SWE,1:23:15.6,+3:40.7,64.71,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5790,32,30,3220002,MUSGRAVE Andrew,1990,GBR,1:23:16.5,+3:41.6,64.97,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5791,33,55,3501176,RUUS Marcus,1994,SWE,1:23:17.3,+3:42.4,65.21,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5792,34,31,3501010,HAEGGSTROEM Johan,1992,SWE,1:23:19.6,+3:44.7,65.88,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5793,35,54,3670078,KLIMIN Olzhas,1996,KAZ,1:23:20.2,+3:45.3,66.06,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5794,36,18,3481132,LARKOV Andrey,1989,RUS,1:23:20.6,+3:45.7,66.18,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5795,37,66,3100283,PALMER-CHARRETTE Evan,1994,CAN,1:23:20.9,+3:46.0,66.26,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5796,38,45,3500991,WESTBERG Karl-Johan,1992,SWE,1:23:22.5,+3:47.6,66.73,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5797,39,57,3100268,KENNEDY Russell,1991,CAN,1:23:34.8,+3:59.9,70.34,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5798,40,6,3422619,VALNES Erik,1996,NOR,1:23:35.5,+4:00.6,70.54,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5799,41,49,3510534,KLEE Beda,1996,SUI,1:23:42.5,+4:07.6,72.60,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5800,42,42,3290600,DAPRA Simone,1997,ITA,1:24:08.4,+4:33.5,80.19,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5801,43,41,3290504,VENTURA Paolo,1996,ITA,1:24:10.4,+4:35.5,80.78,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5802,44,39,3670115,PUKHKALO Vitaliy,1992,KAZ,1:24:12.9,+4:38.0,81.51,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5803,45,63,3300190,YOSHIDA Keishin,1987,JPN,1:24:15.1,+4:40.2,82.15,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5804,46,28,3190111,MANIFICAT Maurice,1986,FRA,1:24:16.5,+4:41.6,82.57,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5805,47,75,3120063,SHANG Jincai,1993,CHN,1:25:02.9,+5:28.0,96.17,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5806,48,76,3120109,ENTEMAKE Maowulietibieke,1996,CHN,1:25:03.8,+5:28.9,96.43,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5807,49,53,3180301,LEHTONEN Lari,1987,FIN,1:25:03.9,+5:29.0,96.46,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5808,50,58,3181007,VUORELA Markus,1996,FIN,1:25:04.2,+5:29.3,96.55,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5809,51,43,3530772,LUSTGARTEN Benjamin,1992,USA,1:25:04.9,+5:30.0,96.76,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5810,52,48,3050159,TRITSCHER Bernhard,1988,AUT,1:25:05.6,+5:30.7,96.96,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5811,53,29,3510342,BAUMANN Jonas,1990,SUI,1:25:06.3,+5:31.4,97.17,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5812,54,33,3300494,BABA Naoto,1996,JPN,1:25:07.9,+5:33.0,97.64,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5813,55,56,3490145,ROJO Imanol,1990,ESP,1:25:20.8,+5:45.9,101.42,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5814,56,40,3150570,NOVAK Michal,1996,CZE,1:25:32.0,+5:57.1,104.70,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5815,57,50,3501346,THORN Viktor,1996,SWE,1:25:41.3,+6:06.4,107.43,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5816,58,52,3300373,MIYAZAWA Hiroyuki,1991,JPN,1:25:43.3,+6:08.4,108.01,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5817,59,64,3500972,BERGSTROEM Martin,1992,SWE,1:25:46.1,+6:11.2,108.84,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5818,60,70,3481163,RETIVYKH Gleb,1991,RUS,1:25:52.2,+6:17.3,110.62,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5819,61,7,3190282,JAY Renaud,1991,FRA,1:25:52.2,+6:17.3,110.62,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5820,62,69,3670098,BASHMAKOV Nail,1995,KAZ,1:26:14.0,+6:39.1,117.02,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5821,63,73,3430233,BURY Kamil,1995,POL,1:26:27.3,+6:52.4,120.92,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5822,64,62,3670022,VELICHKO Yevgeniy,1987,KAZ,1:26:29.1,+6:54.2,121.44,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5823,65,68,3270010,MALONEY WESTGAARD Thomas,1995,IRL,1:26:50.5,+7:15.6,127.72,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5824,66,38,3290407,SALVADORI Giandomenico,1992,ITA,1:26:52.8,+7:17.9,128.39,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5825,67,59,3100321,DUMAS Alexis,1995,CAN,1:27:07.2,+7:32.3,132.61,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5826,68,67,3180865,VUORINEN Lauri,1995,FIN,1:27:33.6,+7:58.7,140.35,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5827,69,72,3530713,BOLGER Kevin,1993,USA,1:27:41.6,+8:06.7,142.70,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5828,70,65,3390167,ALEV Alvar Johannes,1993,EST,1:27:42.8,+8:07.9,143.05,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5829,71,74,3430103,STAREGA Maciej,1990,POL,1:27:48.9,+8:14.0,144.84,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5830,72,71,3500330,PETERSON Teodor,1988,SWE,1:28:16.6,+8:41.7,152.96,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5831,73,78,3560101,SIMENC Miha,1995,SLO,1:28:25.4,+8:50.5,155.54,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5832,74,46,3530120,HAMILTON Simeon,1987,USA,1:29:03.0,+9:28.1,166.57,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5833,75,2,3290326,PELLEGRINO Federico,1990,ITA,1:29:05.2,+9:30.3,167.21,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5834,76,77,3530583,HANNEMAN Logan,1993,USA,1:29:14.2,+9:39.3,169.85,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5835,77,51,3100287,IZQUIERDO-BERNIER Ricardo,1995,CAN,1:32:38.5,+13:03.6,229.75,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5836,78,79,3560121,LAMPIC Janez,1996,SLO,1:34:05.0,+14:30.1,255.11,Men's  F Mst,Meraker (NOR),"Feb 20, 2020",Stage World Cup,2020
5837,1,2,3505809,SUNDLING Jonna,1994,SWE,3:22.75,3:22.75,0.00,Women's SP  C Qual,Trondheim (NOR),"Feb 22, 2020",Sprint Qualification,2020
5838,2,35,3506166,SVAHN Linn,1999,SWE,3:22.99,+0.24,1.42,Women's SP  C Qual,Trondheim (NOR),"Feb 22, 2020",Sprint Qualification,2020
5839,3,3,3425301,JOHAUG Therese,1988,NOR,3:23.58,+0.83,4.91,Women's SP  C Qual,Trondheim (NOR),"Feb 22, 2020",Sprint Qualification,2020
